{}
Selling Price,Description,Inventory,Sell,Item Name,Item Number
,05303919S Sure Seal Impregnator (QUICK DRY) - 20LTR Drum,,,05303919S,05303919S
,1 Litre White Outside Plain Inside Tinplate Flask OBR 43mm Fin,I,,1 Litre Flask Tin,FT1L
,1 Litre Metal Can - PL-1ltr-2729-SR,I,,1 Litre Metal Can,MC1L
,1 Litre Silver Plain Both Sides Tinplate Micro Drum 42mm DIN Bericap Fin -.. Code PL-1LTR-3363-SR,I,,1 Litre RD Tin Plate Can,RDTPC1L
,1 Litre Round Silver Plain Both Sides Tinplate Micro Drum    (Your Code:    PL-1LTR-3663-SR),I,,1 Litre Round Metal Can,RMC1L
,1 Litre White HDPE Jerrican 38/410 1 Litre White HDPE Jerrican 38/410  - Your Code 10701TN-W (1 ...,I,,1 Litre White HDPE Jerrican,1WHDPEJ
,20 Ltr White WOS PIS Tinplate DGA Drum with 56mm Cap & Metal Bung,I,,20 Litre Metal Drum,MD20L
$306.00,Sure Seal 24/7 Plus Stone & Concrete Sealer Water Based (12 x 1 Litre containers per carton),,S,24P1 (Carton),24P1 (Carton)
$27.50,Sure Seal 24/7 Plus Stone & Concrete Sealer Water Based 1 Litre *Loose Singles,,S,24P1,24P1 (Unit)
$410.00,Sure Seal 24/7 Plus Stone & Concrete Sealer Water Based 20 Litre Drum,,S,24P20 (Drum),24P20 (Drum)
$350.00,Sure Seal 24/7 Plus Stone & Concrete Sealer Water Based (4 x 4 Litre containers per carton),,S,24P4 (Carton),24P4 (Carton)
$94.50,Sure Seal 24/7 Plus Stone & Concrete Sealer Water Based 4 Litre *Loose Singles,,S,24P4 (Unit),24P4 (Unit)
$0.00,Sure Seal 300A Graffiti Remover 10 Litre Drum,,S,300A GR 10L,300A GR 10L
$0.00,Sure Seal 300A Graffiti Remover 20 Litre Drum,,S,300A GR 20L,300A GR 20L
$0.00,Sure Seal 300A Graffiti Remover (12 x 500gm Cans per Carton),,S,300A GRA,300A GRA
,38mm T/E Cap to Suit 1 Litre Jerrican Bottle - Black,I,,38mm T/E Cap 1 Litre,38mmTECP1L
,38mm Black T/E Cap to Suit 5 Litre Jerrican (VC 38TEBD),I,,38mm T/E Cap 5 Litre,38mmTECP5L
,38mm TE Cap Vented Blue	,I,,38mm TE Cap Vented,38mmTECPV
,4 Litre White Tin Flask,,,4 Litre Metal Can,4 Litre Metal Can
,4 Litre White HDPE Square Jerrican with view line,,,4 Litre Plastic Jerrican,4  Plastic Jerrican
$0.00,40 kg drum raw material - (R.E.D 5.4.5.5.),,S,40 Kg - 5.4.5.5,40 Kg - 5.4.5.5
$0.00,40 kg drum raw material - (5426),,S,40 Kg - 5426,40 Kg - 5426
,43mm Red REL Plastic CRC BeriCap c/w Pourer,I,,43mm RED BeriCap,43mmREDBC
,5 Litre White HDPE Jerrican STD 38/410 Dorony Neck View Stripe (VJ 5WVB-C),,,5 Litre White HDPE Jerrican,5WhiteHDPEJerrican
,50kg drum raw material - (702),,,50kg - 702,50kg - 702
$0.00,1100 Litre Batch Size,,S,5303919IBC,5303919IBC
,750ml White HDPE Trigger Bottlle 28/410 NK,,,750ml White HDPETrigger Bottle,WhiteHDPETrigger
,Acetone,,,Acetone,Acetone
,Acticide DB20,I,,Acticide DB20,ActDB20
,Acticide LA1209,I,,Acticide LA1209,ActLA1209
,65N198  65 x 198mm Tin Plate Aerosol Cans (Your Code A0656479) (ASL 65N198 PBS PTE 13BAR -O),,,Aerosol 300gm Cans,Aerosol 300gm Cans
,65N216 65 x 216mm Tin Plate Aerosol Cans (Your Code A0657378) (ASL 65N216 PBS PTE 13BAR -O)..,,,Aerosol 350gm Can,Aerosol 350gm Can
,Aerosol Actuators 20-1124-88-0000 White MBU 0.46 Flat Yellow Kosmos PVT,,,Aerosol Actuators,Aerosol Actuators
,Aerosol Caps 65mm,,,Aerosol Caps,Aerosol Caps
,Aerosol Plates for Sure Seal Grout & Tile Sealer - NCI,,,Aerosol Plates for GroutSealer,AerosolPlatesGrout
,Aerosol Valves 80-01931-232,,,Aerosol Valves,Aerosol Valves
,Enviro Safe Acid,I,,AP-3 Descaler,AP3D
$0.00,35mm Swing Tag without String - "Australian Made" AMST35,,S,AUS Made Swing Tag,AUS Made Swing Tag
$143.40,(BC-A350GG) BAT Aerosol 350gm HP Sealer - Unlabelled (Blue Cap),,S,BAT Aero (Blue Cap),BAT Aero (Blue Cap)
$153.60,(BC-A350) BAT Aerosol 350gm HP Sealer - Labelled (Red Cap),,S,BAT Aero (Red Cap),BAT Aero (Red Cap)
$303.00,(BC-HPS1) BAT HP Sealer (12 x 1 Litre),,S,BAT HPS 1Lt,BAT HPS 1Lt
$358.00,(BC-HPS20) BAT HP Sealer 20 Litre Drum,,S,BAT HPS 20Lt,BAT HPS 20Lt
$336.00,(BC-HPS4) BAT HP Sealer (4 x 4 Litre),,S,BAT HPS 4Lt,BAT HPS 4Lt
$379.00,(BC-LPS1) BAT LP Sealer (12 x 1 Litre),,S,BAT LPS 1Lt,BAT LPS 1Lt
$255.00,(BC-LPS20) BAT LP Sealer 20 Litre Drum,,S,BAT LPS 20Lt,BAT LPS 20Lt
,Acticide BW20,I,,Acticide BW20,ActBW20
$240.00,(BC-LPS4) BAT LP Sealer (4 x 4 Litre),,S,BAT LPS 4Lt,BAT LPS 4Lt
$117.00,(BC-MPC1GG) BAT Multi Purpose Cleaner (12 x 1 Litre) - Unlabelled (Blue Cap),,S,BAT MPC 1Lt (Blue Cap),BATMPC1Lt(BlueCap)
,Butyl Glycol / Glysolv,I,,Butyl Icinol,ETGLBE9900
,Plastic Cap 63mm Black Screw Cap for 20L Jerry Can,I,,Caps 63mm Black screw cap 20L,CP63mmBC
,Capstone ST-200,,,Capstone ST-200,Capstone ST-200
,Product Code: 228545..Corrugated Pad 300 x 220mm Carton Inserts..Board Grade 4B..Style 0901 Corr...,,,Cardboard Carton Insert Pads,boardCartonInsert
$0.00,Cartons,,S,Cartons,Cartons
,Product Code: 228546..Cardboard Carton 335 x 225 x 287mm..Board Grade 3CS..Style 0201 RSC,,,Cartons for 1 Litres Solvent,for 1 Litres Solvent
$0.00,Cartons for 4 x 4 Lt Solvent Sealer,,S,Cartons for 4 Litres Solvent,for 4 Litres Solvent
,Chemax CL-225 (200KG Drum)  - Your Code 4928559,,,Chemax CL-225,Chemax CL-225
$354.00,Sure Seal Consolidator Sealer Water-Based  (12 x 1 Litre Units per Carton),,S,CONS1 (Carton),CONS1 (Carton)
$32.00,Sure Seal Consolidator Sealer Water-Based 1 Litre *Loose Singles,,S,CONS1 (Unit),CONS1 (Unit)
$445.00,Sure Seal Consolidator Sealer Water-Based (20 Litre Drum),,S,CONS20 (Drum),CONS20 (Drum)
$392.00,Sure Seal Consolidator Sealer Water-Based (4 x 4 Litre Units per Carton),,S,CONS4 (Carton),CONS4 (Carton)
$106.00,Sure Seal Consolidator Sealer Water-Based 4 Litre *Loose Singles,,S,CONS4 (Unit),CONS4 (Unit)
,MDBE - Mixed Dibasic Ester (DIBAES4100) - 220 KG Drum,,,DIBAES4100,DIBAES4100
,Dipentene (DIPENT8000) - 175 KG Drum,I,,DIPENT8000,DIP8000
,Dissolvine GL47-S 250KG Drum UN 3267 Haz 2X Class 8 PG III,I,,Dissolvine GL47-S,DGL47S
,Distilled Water,I,,Distilled Water,DWAT
,Dipropylene Glycol Methyl Ether,I,,DPM,DPM
$192.00,Sure Seal Ezy-As 1.2.3 Waterbased Sealer (12 x 1 Lt containers per carton),,S,EA1 (Carton),EA1 (Carton)
$17.30,Sure Seal Ezy-As 1.2.3 Waterbased Sealer 1 Lt *Loose Singles,,S,EA1 (Unit),EA1 (Unit)
$202.00,Sure Seal Ezy-As 1.2.3 Waterbased Sealer 20 Litre Drum,,S,EA20 (Drum),EA20 (Drum)
$192.00,Sure Seal Ezy-As 1.2.3 Waterbased Sealer (4 x 4 Lt containers per carton),,S,EA4 (Carton),EA4 (Carton)
$51.80,Sure Seal Ezy-As 1.2.3 Waterbased Sealer 4 Lt *Loose Singles,,S,EA4 (Unit),EA4 (Unit)
,Sure Seal Efflorescence & Cement Cleaner 20 Litre,,,Eff-Away 20 Lt,Eff-Away 20 Lt
$98.40,Sure Seal EFF-Plus Remover (12 x 1 Litre Units per Carton),,S,EFFP1 (Carton),EFFP1 (Carton)
$8.90,Sure Seal EFF-Plus Remover 1 Litre *Loose Singles,,S,EFFP1 (Unit),EFFP1 (Unit)
$120.25,Sure Seal EFF-Plus Remover 20 Litre Drum,,S,EFFP20 (Drum),EFFP20 (Drum)
$101.20,Sure Seal EFF-Plus Remover (4 x 4 Litre Units per Carton),,S,EFFP4 (Carton),EFFP4 (Carton)
$27.30,Sure Seal EFF-Plus Remover 4 Litre *Loose Singles,,S,EFFP4 (Unit),EFFP4 (Unit)
,200 Litre Drum Envirogard Cleaner,,,ENV200LT,ENV200LT
,Ethyl Lactate 200 KG,I,,Ethyl Lactate 200kg,EL200
$45.28,EziCleen Bathroom Care Glass Cleaner 20 Litre Plastic Drums,,S,EziCleen Bathroom 20L,EziCleenBathroom20L
,"Sure Seal QUICK DRYING Grout, Tile & Stone Sealer (Formerly Gold Label) 200 Litre Drum",,,GL200LTR,GL200LTR
$0.00,Graffiti Shadow Buster Gel 10 Litre Drum,I,S,GR2BUST10LT,GR2BUST10LT
$0.00,Graffiti Shadow Buster Gel 20 Litre Drum,,S,GR2BUST20LT,GR2BUST20LT
,Graffiti Remover 20 Lt Drum (New Formula),,,GR2NEW20LT,GR2NEW20LT
$0.00,"Graffiti Shield Impregnator (Waterbased) 1,000 Litre (IBC)",,S,GRS1000LT (IBC),GRS1000LT (IBC)
,Graffiti Shield Impregnator (Waterbased) 10 Litre Drum,,,GRS10LT,GRS10LT
,Graffiti Shield Impregnator (Waterbased) 200 Litre Drum,,,GRS200LT,GRS200LT
$0.00,Graffiti Shield Impregnator (Waterbased) 20 Litre Drum,,S,GRS20LT,GRS20LT
,G-Shield Premium - 1 Litre,,,GSP- 1Lt,GSP- 1Lt
$117.00,"Sure Seal Grout, Tile & Stone Cleaner 1 Litre Concentrate (12 x 1 Litre Bottles Per Carton)",,S,GTS1 (Carton),GTS1 (Carton)
$10.50,"Sure Seal Grout, Tile & Stone Cleaner 1 Litre *Loose Singles",,S,GTS1 (Unit),GTS1 (Unit)
$150.00,"Sure Seal Grout, Tile & Stone Cleaner 20 Litre Drum Concentrate",,S,GTS20 (Drum),GTS20 (Drum)
$139.80,"Sure Seal Grout, Tile & Stone Cleaner 4 Litre Concentrate (4 x 4 Litre Bottles Per Carton)",,S,GTS4 (Carton),GTS4 (Carton)
$37.50,"Sure Seal Grout, Tile & Stone Cleaner 4 Litre *Loose Singles",,S,GTS4 (Unit),GTS4 (Unit)
$100.20,"Sure Seal Grout, Tile & Stone Cleaner 750ml Trigger Bottle (12 x 750ml Bottles Per Carton)",,S,GTS750 (Carton),GTS750 (Carton)
$9.00,"Sure Seal Grout, Tile & Stone Cleaner 750ml Trigger Bottle *Loose Singles",,S,GTS750 (Unit),GTS750 (Unit)
,Heptane,,,Heptane,Heptane
,Hexafor 6242 (Water based) 200 Kg Drum,I,,Hexafor 6242 - 200 kg,H6242-200
,Hexafor 6242 (Water based) 50 Kg,,,Hexafor 6242,H6242
,Hexafor 6284 (Solvent based) 180 Kg,,,Hexafor 6284 - 180kg,Hexafor 6284 - 180kg
,Hexafor 6284 (Solvent based) 50 Kg,,,Hexafor 6284 - 50 Kg,Hexafor 6284 - 50 Kg
,Hexafor 6284 (Solvent Based) - 25 Kg,,,Hexafor 6284 (SB) - 25 Kg,6284 (SB) - 25 Kg
,Hexafor 6392 - 50 Kg Drum (Water-Based),,,Hexafor 6392 - 50 Kg,Hexafor 6392 - 50 Kg
,Hexafor 6600 50Kg,I,,Hexafor 6600,H6600
,Hexafor 675 - 5 KG,,,Hexafor 675,Hexafor 675
,Kion HTA 1500 Rapid Cure Resin,,,HTA 1500 Rapid Cure,HTA 1500 Rapid Cure
,Kion HTA 1500 Slow Cure,,,HTA 1500 Slow Cure,HTA 1500 Slow Cure
$0.00,"1,000 Litre IBC with Course Thread, 3-way cap and spout",,S,IBC,IBC
,NaN,,,IMS 100,IMS 100
,Isopropyl Alcohol,I,,IPA,IPA
,Isopar G - 200 Litre,,,Isopar G,Isopar G
,Isopropyl Alcohol,,,Isopropyl Alcohol,Isopropyl Alcohol
,Sure-Can-Clean,,,Kleenbreak,Kleenbreak
,Pannox 78A Surfactant,,,LA8 Surfactant,LA8 Surfactant
,Labels,,,Labels,Labels
,Red Child Resistant Cap,,,Lids,Lids
,Mauser 205 Litre Blue,,,Mauser Blue 205 Lt,Mauser Blue 205 Lt
,Methocel J5MS,,,Methocel,Methocel
,"Sure Seal SLOW DRYING Grout, Tile & Stone Sealer (Formerly Tilers Choice for Porcelain) 200 Litr...",,,P200LT,P200LT
,PDM 240 - 50 Kg Drum (Water-Based),,,PDM 240 - 50 Kg,PDM 240 - 50 Kg
,PDM 280 - 50 Kg Drum (Solvent-Based),I,,PDM 280 - 50 Kg,PDM
,Hexafor 6284 (SB) - 25 Kg,,,PDM 6280 - 25 Kg,PDM 6280 - 25 Kg
,Small Packs 1 Litre White Outside Plain Inside Tinplate Flask OBR 43mm Fin -  Your Code: PL-1LTR...,,,PL-1LTRPC-984-WT34,PL-1LTRPC-984-WT34
,20 Litre Rectangle White DG Anti-Glug 63mm NDWD-Dust Cap,,,Plastic Drums,Plastic Drums
$426.00,Sure Seal Premium PLUS Water Based Sealer (12 x 1 Litre Units per carton),,S,PP1 (Carton),PP1 (Carton)
$38.00,Sure Seal Premium PLUS Water Based Sealer 1 Litre *Loose Singles,,S,PP1 (Unit),PP1 (Unit)
$515.00,Sure Seal Premium PLUS Water Based Sealer 20 Litre Drum,,S,PP20 (Drum),PP20 (Drum)
$464.00,Sure Seal Premium PLUS Water Based Sealer (4 x 4 Litre Units per carton),,S,PP4 (Carton),PP4 (Carton)
$125.00,Sure Seal Premium PLUS Water Based Sealer 4 Litre *Loose Singles,,S,PP4 (Unit),PP4 (Unit)
,Premier One - AM.020 Aluminium Brightener Concentrate 20 Lt,,,Premier One - AB.020,Premier One - AB.020
$0.00,Premier One - Brake Cleaner 20 Lt,,S,Premier One - BC.020,Premier One - BC.020
,Premier One - BL10-B Turbo Truckwash 20 Lt,,,Premier One - BL10B.020,BL10B.020
,Premier One - Swarfega Citrus Hand Cleaner 4 KG,,,Premier One - Citrus4,Citrus4
,Premier One - Cleamy Cleaner 15 Litres,,,Premier One  Creamy Cleaner 15,Creamy Cleaner 15
,"Premier One - Vinyl, Dash & Bumper Dressing 20 Lt",,,Premier One - Dash.020,Dash.020
,remier One - Deoderiser Cherry 20 Litre,,,Premier One  Deoderiser Cherry,Deoderiser Cherry
,Premier One - Desolver Heavy Duty Solvent Based Degreaser 20 Lt,,,Premier One - Des.020,Des.020
,Premier One - Swarfega 4 Litre Wall Dispenser,,,Premier One - Disp2132,Disp2132
,Premier One - Emulsion & Bitumen Remover 20 Lt,,,Premier One - EB70.020,EB70.020
,Premier One - Glass Cleaner 20 Lt,,,Premier One - G.C.020,G.C.020
,Premier One - Swarfega 4 Lt Dispenser,,,Premier One - HC.2132,HC.2132
,Premier One - Swarfega Citrus 4 Lt Cartridge,,,Premier One - HC.5008,HC.5008
,Premier One - Swarfega Orange 4 Lt Cartridge,,,Premier One - HC.5025,HC.5025
,Premier One - Heavy Duty Degreaser 20 Lt,,,Premier One - HD16.020,HD16.020
,Premier One - Kerosene 20 Litres,,,Premier One - Kerosene,Kerosene
,Premier One - Organic Based Scale Away Concrete Remover 20 Lt,,,Premier One - Org.020,Org.020
,Premier One - Organic Based Scale Away Concrete Remover 200 Lt,,,Premier One - Org.200,Org.200
$0.00,Premier One - Premier Black Extra Heavy Duty Water Based Degreaser,,S,Premier One - PB.020,Premier One - PB.020
$0.00,Premier One - Premier Red Heavy Duty Water Based Degreaser,,S,Premier One - PR.020,Premier One - PR.020
$0.00,"Premier One - Protecta Was & Wax 1,000 Litres",,S,Premier One  Protecta Wash IBC,Protecta Wash IBC
,Premier One - RE160 All Purpose Cleaner 20 Lt,,,Premier One - RE160.020,RE160.020
$0.00,Premier One - Safe Degreaser 20 Lt,,S,Premier One - Safe.020,Safe.020
,Premier One - Smik Tyre Shine 20 Litre,,,Premier One  Smik Tyre Shine 2,Smik Tyre Shine 2
,Premier One - Smik Tyre Shine 20 Lt,,,Premier One - Smik.020,Smik.020
,Premier One - Smik Tyre Shine 200 Litres,,,Premier One - Smik.200,Smik.200
,Premier One - Truck Wash 20 Lt,,,Premier One - TW2000.020,TW2000.020
,Premier One - TW2000.200 Truck Wash - 200 Litres,,,Premier One - TW2000.200,TW2000.200
$0.00,Premier One - Tyre Black 4 Litre,,S,Premier One - Tyre Black.004,Tyre Black.004
,"Premier One - Protecta Wash & Wax 1,000 Litres",,,Premier One - Wash n Wax 1000,Wash n Wax 1000
,Premier One 1 Litre Solvent Resistant Pump Sprayer,,,Premier One Pump 1000,Pump 1000
,Premier One - Aluminium Brightener 20 Litre,,,PremierOne  Aluminium Brighten,Aluminium Brighten
,Premier One - DS1000 Detail Spray,,,PremierOne  DS1000 Detail Spra,DS1000 Detail Spra
,Premier One - MP470 Metal Polish 470ml,,,PremierOne  MP470 Metal Polish,MP470 Metal Polish
$0.00,Premier One - Swarfega Orange Hand Cleaner 20 Litre,I,S,PremierOne - Swarfega Orange,- Swarfega Orange
,Primal AC3001R,I,,Primal AC3001R,PAC3001R
,Protectosil WS 808,I,,Protectosil WS 808,WS808
$327.00,"Sure Seal QUICK DRYING Grout, Tile & Stone Sealer (12 x 1 Litre Units per carton)",,S,QD1 (Carton),QD1 (Carton)
$29.40,"Sure Seal QUICK DRYING Grout, Tile & Stone Sealer 1 Litre *Loose Singles",,S,QD1 (Unit),QD1 (Unit)
$358.00,"Sure Seal QUICK DRYING Grout, Tile & Stone Sealer 20 Litre Drum",,S,QD20 (Drum),QD20 (Drum)
$366.00,"Sure Seal QUICK DRYING Grout, Tile & Stone Sealer (4 x 4 Litre Units per carton)",,S,QD4 (Carton),QD4 (Carton)
$98.80,"Sure Seal QUICK DRYING Grout, Tile & Stone Sealer 4 Litre *Loose Singles",,S,QD4 (Unit),QD4 (Unit)
$188.40,Sure Seal QUICK DRYING Grout & Tile Sealer (12 x 300 gram Cans per Carton),,S,QDA (Carton),QDA (Carton)
$16.95,Sure Seal QUICK DRYING Grout & Tile Sealer 300 gram Can *Loose Singles,,S,QDA (Unit),QDA (Unit)
$0.00,Sure Seal Rug and Carpet Protector 20 Litre Drum,,S,RCP20 (Drum),RCP20 (Drum)
$182.40,Sure Seal Rug and Carpet Protector (12 x 350gm Cans),,S,RCPA (Carton),RCPA (Carton)
$16.45,Sure Seal Rug and Carpet Protector 350gm Can *Loose Singles,,S,RCPA (Unit),RCPA (Unit)
$100.20,"Sure Seal Rug, Carpet & Textile Stain Remover 750ml Trigger Bottles (12 x 750ml Bottles Per Carton)",,S,RCSR750 (Carton),RCSR750 (Carton)
$9.00,"Sure Seal Rug, Carpet & Textile Stain Remover 750ml Trigger Bottle *Loose Singles",,S,RCSR750 (Unit),RCSR750 (Unit)
,RED 042 50 Kg Drum,,,RED 042,RED 042
,RED 180 50 Kg Drum,,,RED 180,RED 180
$0.00,1000 kg Revised Ezy-As 123 (ready to use formulation),,S,Resin Ezy-As 123 Revised,As 123 Revised
,Ezy-As 1.2.3 sealer (12 x 1 Litre),,,Revised Ezy-As 1.2.3 1 Litre,As 1.2.3 1 Litre
$0.00,Ezy-As 1.2.3 sealer (20 Litre),,S,Revised Ezy-As 1.2.3 20 Litre,As 1.2.3 20 Litre
$0.00,Ezy-As 1.2.3 sealer (4 x 4 Litre),,S,Revised Ezy-As 1.2.3 4 Litre,As 1.2.3 4 Litre
,Rhodiasolv RPDE,,,Rhodiasolv RPDE,Rhodiasolv RPDE
$0.00,Samples,,S,Samples,Samples
$0.00,Sure Clean 1-Step Porcelain Cleaner,,S,SC - Bulk,SC - Bulk
$174.00,Sure Clean Porcelain Cleaner (12 x 1 Litre containers per carton),,S,SC1 (Carton),SC1 (Carton)
$15.60,Sure Clean 1 Litre *Loose Singles,,S,SC1 (Unit),SC1 (Unit)
$210.00,Sure Clean Porcelain Cleaner 20 Litre Drum,,S,SC20 (Drum),SC20 (Drum)
$208.00,Sure Clean Porcelain Cleaner (4 x 4 Litre containers per carton),,S,SC4 (Carton),SC4 (Carton)
$56.00,Sure Clean 4 Litre *Loose Singles,,S,SC4 (Unit),SC4 (Unit)
$0.00,Sure 'Can' Clean 15 Litres,,S,SCClean15Litre,SCClean15Litre
,Sure 'Can' Clean 20 Litres,,,SCClean20Lt,SCClean20Lt
$0.00,Sure 'Can' Clean 25 Litres,,S,SCClean25Lt,SCClean25Lt
$0.00,Sure 'Can' Clean 5 Litres,,S,SCClean5Lt,SCClean5Lt
,Lemon Lime WS Scent,,,Scent,Scent
$379.20,"Sure Seal SLOW DRYING Grout, Tile & Stone Sealer (12 x 1 Litre Units per carton)",,S,SD1 (Carton),SD1 (Carton)
$34.10,"Sure Seal Grout, Tile & Stone Sealer SLOW DRYING 1 Litre *Loose Singles",,S,SD1 (Unit),SD1 (Unit)
$410.00,"Sure Seal SLOW DRYING Grout, Tile & Stone Sealer 20 Litre Drum",,S,SD20 (Drum),SD20 (Drum)
$416.00,"Sure Seal Grout, Tile & Stone Sealer SLOW DRYING (4 x 4 Litre Units per carton)",,S,SD4 (Carton),SD4 (Carton)
$112.30,"Sure Seal Grout, Tile & Stone Sealer SLOW DRYING 4 Litre *Loose Singles",,S,SD4 (Unit),SD4 (Unit)
$195.60,"Sure Seal Grout, Tile & Stone Sealer SLOW DRYING (12 x 300gm Cans per Carton)",,S,SDA (Carton),SDA (Carton)
$17.60,"Sure Seal Grout, Tile & Stone Sealer SLOW DRYING 300gm Can *Loose Singles",,S,SDA (Unit),SDA (Unit)
,Servon XB58 210KG Drum,I,,Servon XB58,442578EIP
,Setalux Pave 500 Resin - 200 Kg Drum,,,Setalux Pave 500,Setalux Pave 500
,Shell Heptane,,,Shell Heptane,Shell Heptane
,Silres 1001 - 25 Kg Pail,I,,Silves 1001,S1001
,(SOMESE3200) 25kg bags of Sodium Metasilicate Pentahydrate,I,,Sodium Metasilicate,SOMESE3200
"$9,685.00","Sure Seal 24/7 PLUS 1,000 IBC",,S,SS 24/7 PLUS 1000Lt,SS 24/7 PLUS 1000Lt
$0.00,Sure Seal 24/7 PLUS 20 Litre Drum,,S,SS 24/7 PLUS 20LT,SS 24/7 PLUS 20LT
$0.00,Sure Seal 24/7 PLUS (4 x 5 Litre Carton),,S,SS 24/7 PLUS 5LT,SS 24/7 PLUS 5LT
$0.00,Sure Seal 300A Graffiti Remover Aerosol (12 x 500gm Cans per Carton),,S,SS 300A GR Aerosol,SS 300A GR Aerosol
"$2,514.00","Sure Seal Agitator PRO-Wash 1,000 Litre IBC",,S,SS APW (IBC),SS APW (IBC)
$0.00,Sure Seal Agitator PRO-Wash 10 Litre Drums,,S,SS APW 10LT,SS APW 10LT
$56.00,Sure Seal Agitator PRO-Wash 20 Litre Drums,,S,SS APW 20 LT,SS APW 20 LT
$0.00,Sure Seal (Revised Formula) Agitator PRO-Wash (SAMPLE ONLY) 20 Litre Drum,,S,SS APW 20L (Revised),SS APW 20L (Revised)
$0.00,Sure Seal Consolidator Sealer Water-Based (4 x 4 Litre Units per Carton),,S,SS CONS 4LT,SS CONS 4LT
$0.00,Sure Seal Consolidator Sealer Water-Based (20 Litre Drum),,S,SS CONS20,SS CONS20
"$7,390.00",Sure Seal Ezy-As 1.2.3 Waterbased Sealer (IBC),,S,SS EA (IBC),SS EA (IBC)
$0.00,Sure Seal Ezy-As 1.2.3 Waterbased Sealer (12 x 1 Litre Units Per Carton),,S,SS EA1 Litre,SS EA1 Litre
$0.00,Sure Seal Ezy-As 1.2.3 Waterbased Sealer 20 Litre Drum,,S,SS EA20 Litre,SS EA20 Litre
"$1,505.00",Sure Seal Ezy As 1.2.3. Water Based Sealer (200 Litre Mauser),,S,SS EA200LT Mauser,SS EA200LT Mauser
"$5,925.00","Sure Seal Enviro-Clear Seal 1,000 Litre IBC",,S,SS ECS (IBC),SS ECS (IBC)
$0.00,Sure Seal Enviro-Clear Seal 200 Litre Mauser,,S,SS ECS 200LT (Mauser),SSECS200LT(Mauser)
"$1,245.00",Sure Seal Enviro-Clear Seal 200 Litre Mauser,,S,SS ECS 200LT Mauser,SS ECS 200LT Mauser
